Linux 3.8.0-19-generic (ip-10-58-125-169) 	06/06/2013 	_x86_64_	(1 CPU)

08:44:50 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest   %idle
08:44:51 PM  all   32.67    0.00    0.99    0.00    0.00    0.00    1.98    0.00   64.36
08:44:52 PM  all   95.10    0.00    0.00    0.00    0.00    0.98    3.92    0.00    0.00
08:44:53 PM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
08:44:54 PM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
08:44:55 PM  all   99.01    0.00    0.00    0.00    0.00    0.00    0.99    0.00    0.00
08:44:56 PM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
08:44:57 PM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
08:44:58 PM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
08:44:59 PM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
08:45:00 PM  all   93.20    0.00    0.00    0.00    0.00    0.00    6.80    0.00    0.00
08:45:01 PM  all    9.65    0.00    1.75    0.00    0.00    0.00   88.60    0.00    0.00
08:45:02 PM  all    7.20    0.00    0.80    0.00    0.00    0.80   91.20    0.00    0.00
08:45:03 PM  all   32.20    0.00    0.00    0.00    0.00    0.00   67.80    0.00    0.00
08:45:04 PM  all    8.64    0.00    0.00    0.00    0.00    0.00   91.36    0.00    0.00
08:45:05 PM  all   18.75    0.00    0.00    0.00    0.00    0.00   81.25    0.00    0.00
08:45:06 PM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
08:45:07 PM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
08:45:08 PM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
08:45:09 PM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
08:45:10 PM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
08:45:12 PM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
08:45:13 PM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
08:45:14 PM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
08:45:15 PM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
08:45:16 PM  all    1.18    0.00    0.10    0.00    0.00    0.00   98.72    0.00    0.00
08:45:17 PM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
08:45:18 PM  all    5.16    0.00    0.00    0.00    0.00    0.00   94.84    0.00    0.00
08:45:19 PM  all   15.62    0.00    0.00    0.00    0.00    0.00   84.38    0.00    0.00
08:45:20 PM  all   94.12    0.00    5.88    0.00    0.00    0.00    0.00    0.00    0.00
08:45:21 PM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
08:45:22 PM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
08:45:23 PM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
08:45:24 PM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
08:45:26 PM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
08:45:27 PM  all    2.38    0.00    0.00    0.00    0.00    0.00   97.62    0.00    0.00
08:45:28 PM  all   18.18    0.00    0.00    0.00    0.00    0.00   81.82    0.00    0.00
08:45:29 PM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
08:45:30 PM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
08:45:31 PM  all    4.18    0.00    0.00    0.00    0.00    0.00   95.82    0.00    0.00
08:45:32 PM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
08:45:33 PM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
08:45:34 PM  all    4.86    0.00    0.00    0.00    0.00    0.00   95.14    0.00    0.00
08:45:35 PM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
08:45:36 PM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
08:45:37 PM  all    4.98    0.00    0.00    0.00    0.00    0.00   95.02    0.00    0.00
08:45:38 PM  all   20.90    0.00    0.00    0.00    0.00    0.00   79.10    0.00    0.00
08:45:39 PM  all   10.49    0.00    0.00    0.00    0.00    0.00   89.51    0.00    0.00
08:45:40 PM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
08:45:41 PM  all    4.13    0.00    0.00    0.00    0.00    0.00   95.87    0.00    0.00
08:45:43 PM  all   26.56    0.00    1.56    0.00    0.00    0.00   71.88    0.00    0.00
08:45:44 PM  all    9.09    0.00    0.00    0.00    0.00    0.00   90.91    0.00    0.00
08:45:45 PM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
08:45:46 PM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
08:45:47 PM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
08:45:48 PM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
08:45:49 PM  all    3.98    0.00    0.00    0.00    0.00    0.00   96.02    0.00    0.00
08:45:50 PM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
08:45:51 PM  all   93.33    0.00    6.67    0.00    0.00    0.00    0.00    0.00    0.00
