Linux 3.8.0-19-generic (ip-10-34-167-107) 	06/07/2013 	_x86_64_	(1 CPU)

07:48:33 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest   %idle
07:48:34 AM  all   73.13    0.00    4.48    0.00    0.00    0.00    0.00    0.00   22.39
07:48:35 AM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
07:48:36 AM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
07:48:37 AM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
07:48:38 AM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
07:48:39 AM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
07:48:40 AM  all   98.28    0.00    1.72    0.00    0.00    0.00    0.00    0.00    0.00
07:48:41 AM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
07:48:42 AM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
07:48:43 AM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
07:48:44 AM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
07:48:45 AM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
07:48:46 AM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
07:48:47 AM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
07:48:48 AM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
07:48:49 AM  all    6.93    0.00    0.00    0.00    0.00    0.00   93.07    0.00    0.00
07:48:50 AM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
07:48:51 AM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
07:48:52 AM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
07:48:53 AM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
07:48:54 AM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
07:48:55 AM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
07:48:56 AM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
07:48:57 AM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
07:48:58 AM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
07:48:59 AM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
07:49:00 AM  all    9.76    0.00    0.00    0.00    0.00    0.00   90.24    0.00    0.00
07:49:01 AM  all   39.33    0.00    0.67    0.00    0.00    0.00   60.00    0.00    0.00
07:49:02 AM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
07:49:03 AM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
07:49:04 AM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
07:49:05 AM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
07:49:07 AM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
07:49:08 AM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
07:49:09 AM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
07:49:10 AM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
07:49:11 AM  all   98.28    0.00    1.72    0.00    0.00    0.00    0.00    0.00    0.00
07:49:12 AM  all   10.78    0.00    0.00    0.00    0.00    0.00   89.22    0.00    0.00
07:49:13 AM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
07:49:14 AM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
07:49:15 AM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
07:49:16 AM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
07:49:17 AM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
07:49:18 AM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
07:49:19 AM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
07:49:20 AM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
07:49:21 AM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
07:49:22 AM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
07:49:23 AM  all   98.33    0.00    1.67    0.00    0.00    0.00    0.00    0.00    0.00
07:49:24 AM  all    8.39    0.00    0.00    0.00    0.00    0.00   91.61    0.00    0.00
07:49:25 AM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
07:49:26 AM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
